sample-id	total-input-reads	total-retained-reads	reads-truncated	reads-too-short-after-truncation	reads-exceeding-maximum-ambiguous-bases
#q2:types	numeric	numeric	numeric	numeric	numeric
DB38.229	849	842	69	7	0
DB38.230	12998	12916	841	82	0
DB38.231	12135	12071	437	64	0
DB38.232	2471	2462	120	9	0
DB38.233	17922	17823	996	99	0
DB38.234	30719	30589	1594	130	0
DB38.235	1685	1674	90	11	0
DB38.236	21287	21189	1063	98	0
DB38.237	27147	27015	1518	132	0
DB38.238	29712	29529	1852	183	0
DB38.239	14051	13977	575	74	0
DB38.240	32737	32556	1638	179	2
DB38.241	13133	13039	754	94	0
DB38.242	14892	14823	1116	68	1
DB38.243	7434	7390	374	44	0
DB38.244	2507	2493	153	14	0
DB38.245	5692	5669	292	23	0
DB38.246	8134	8091	414	43	0
DB38.247	3164	3146	140	18	0
DB38.248	1581	1570	105	11	0
DB38.249	12839	12776	856	63	0
DB38.250	3331	3316	172	15	0
DB38.251	2782	2761	212	20	1
DB38.252	3311	3299	152	12	0
DB38.253	1185	1178	77	7	0
DB38.254	3255	3244	305	11	0
DB38.255	1269	1261	147	8	0
DB38.256	1430	1419	106	11	0
DB38.257	16489	16412	754	77	0
DB38.258	24176	24056	1540	120	0
DB38.259	186	184	25	2	0
DB38.260	1601	1597	96	4	0
DB38.261	41950	41752	2358	198	0
DB38.262	163	160	9	3	0
DB38.263	42	42	2	0	0
DB38.264	15262	15177	886	85	0
DB38.265	9502	9450	670	52	0
DB38.266	155879	155013	8480	866	0
DB38.267	31710	31533	1477	177	0
DB38.268	37520	37375	2149	145	0
DB38.269	7723	7661	528	62	0
DB38.270	24909	24760	1553	149	0
DB38.271	66486	66191	5138	295	0
DB38.272	28736	28617	2309	119	0
DB38.273	67312	67042	3556	269	1
DB38.274	14031	13939	772	92	0
DB38.275	120388	119868	7148	520	0
DB38.276	22438	22341	874	97	0
DB38.277	55819	55592	4609	227	0
DB38.278	32123	31961	2682	161	1
DB38.279	25470	25364	1482	106	0
DB38.280	10033	9975	1920	58	0
DB38.281	14171	14108	930	63	0
DB38.282	105	105	8	0	0
DB38.283	2158	2147	177	11	0
DB38.284	30795	30628	2194	167	0
DB38.285	5844	5802	334	42	0
DB38.286	10145	10089	490	56	0
DB38.287	29081	28922	1992	159	0
DB38.288	32	31	7	1	0
DB38.289	1820	1805	89	15	0
DB38.290	46029	45793	2238	236	0
DB38.291	53913	53594	3447	319	0
DB38.292	28598	28446	1424	152	0
DB38.293	6447	6416	302	31	0
DB38.294	47032	46807	2214	225	0
DB38.295	32632	32460	2228	172	0
DB38.296	12204	12140	794	64	0
DB38.297	73	73	17	0	0
DB38.298	45787	45512	2948	275	0
DB38.299	73312	72934	3722	378	0
DB38.300	44601	44376	2199	225	0
DB38.301	53634	53339	2519	295	0
DB38.302	47381	47125	2540	256	0
DB38.303	93	92	7	1	0
DB38.304	24564	24412	1294	152	0
DB38.305	30546	30396	1317	150	0
DB38.306	25340	25206	1382	134	0
DB38.307	65553	65238	3766	314	1
DB38.308	28176	28031	1833	145	0
DB38.309	66087	65746	2781	341	0
DB38.310	34369	34218	2057	151	0
DB38.311	26703	26555	1352	148	0
DB38.312	46621	46369	3758	252	0
DB38.313	29711	29551	2143	160	0
DB38.314	100106	99503	6899	603	0
DB38.315	23509	23381	1260	128	0
DB38.316	85053	84643	5114	410	0
DB38.317	66943	66571	5177	372	0
DB38.318	10718	10644	527	74	0
DB38.319	8213	8171	416	42	0
DB38.320	49560	49295	2556	265	0
DB38.321	31311	31166	1716	145	0
DB38.322	30455	30293	2150	162	0
DB38.323	23953	23845	1085	108	0
DB38.324	41876	41687	1844	189	0
DB38.325	41501	41288	3096	213	0
DB38.326	34893	34722	1562	170	1
DB38.327	22850	22723	1311	127	0
DB38.328	82749	82335	4710	414	0
DB38.329	37367	37168	1716	199	0
DB38.330	30760	30594	1504	166	0
DB38.331	42622	42443	1815	179	0
DB38.332	478	472	34	6	0
DB38.333	225	224	21	1	0
DB38.334	40335	40114	2459	221	0
DB38.335	15498	15423	835	75	0
DB38.336	168	168	20	0	0
DB38.337	9545	9484	1111	61	0
DB38.338	174	172	19	2	0
DB38.339	5102	5076	572	26	0
DB38.340	58005	57681	3851	324	0
DB38.341	13598	13523	842	75	0
DB38.342	146	145	9	1	0
DB38.343	101	100	12	1	0
DB38.344	37089	36922	2292	167	0
DB38.345	39020	38852	2297	168	0
DB38.346	78	78	10	0	0
DB38.347	14187	14124	836	63	0
DB38.348	52799	52504	3175	295	0
DB38.349	566	560	37	6	0
DB38.350	277	275	17	2	0
DB38.351	3043	3026	160	17	0
DB38.352	58392	58089	2666	303	0
DB38.353	42860	42632	2603	228	0
DB38.354	133096	132315	7476	781	0
DB38.355	129	129	13	0	0
DB38.356	938	931	38	7	0
DB38.357	64862	64551	3407	311	0
DB38.358	25570	25426	1222	144	0
DB38.359	26567	26446	2037	121	0
DB38.360	628	628	37	0	0
DB38.361	29	29	1	0	0
DB38.362	19191	19098	1068	93	0
DB38.363	157	156	15	1	0
DB38.364	94647	94249	5897	398	0
DB38.365	86	86	8	0	0
DB38.366	5365	5343	452	22	0
DB38.367	9108	9050	580	58	0
DB38.368	15693	15597	1385	96	0
DB38.369	291	287	17	4	0
DB38.370	380	377	22	3	0
DB38.371	340	335	37	5	0
DB38.372	8496	8459	521	37	0
DB38.373	62821	62395	4438	426	0
DB38.374	8751	8719	574	32	0
DB38.375	19112	19023	1107	89	0
DB38.376	19300	19173	1338	127	0
DB38.377	34793	34635	2334	158	0
DB38.378	27817	27697	1318	120	0
DB38.379	33586	33382	2298	204	0
DB38.380	258	253	32	5	0
DB38.381	32708	32548	1567	158	2
DB38.382	6993	6955	428	38	0
DB38.383	5472	5441	285	31	0
DB38.384	18840	18730	1653	110	0
DB38.385	658	653	33	5	0
DB38.386	17858	17767	869	91	0
DB38.387	13270	13201	860	69	0
DB38.388	62454	62146	3586	308	0
DB38.389	10465	10409	652	56	0
DB38.390	15280	15186	1081	94	0
DB38.391	123	123	7	0	0
DB38.393	24829	24684	2471	145	0
DB38.394	38706	38498	3559	208	0
DB38.395	1390	1388	173	2	0
DB38.396	14421	14330	932	91	0
DB38.397	1025	1020	49	5	0
DB38.398	132	132	11	0	0
DB38.399	324	321	33	3	0
DB38.400	92	91	1	1	0
DB38.401	797	791	39	6	0
DB38.402	126	125	12	1	0
DB38.403	255	253	23	2	0
DB38.404	96	96	2	0	0
DB38.405	611	607	30	4	0
DB38.406	31	31	2	0	0
DB38.407	303	302	14	1	0
DB38.408	536	531	24	5	0
DB38.409	435	432	25	3	0
DB38.410	47185	46980	2912	205	0
DB38.411	548	544	37	4	0
DB38.412	37945	37741	2494	203	1
DB38.413	229	227	17	2	0
DB38.414	3095	3061	179	34	0
DB38.415	74	74	5	0	0
DB38.416	142	141	7	1	0
DB38.417	493	491	29	2	0
DB38.418	169	168	15	1	0
DB38.419	59	59	5	0	0
DB38.420	12342	12286	804	55	1
DB38.421	47353	47122	2621	231	0
DB38.425	139083	138408	9995	674	1
DB38.426	145850	145349	12717	501	0
DB38.427	44862	44662	3391	200	0
DB38.428	31151	31007	2221	144	0
DB38.429	39697	39528	2516	169	0
DB38.430	60282	60031	2521	251	0
DB38.431	27292	27157	2169	135	0
DB38.432	294	292	28	2	0
DB38.433	27202	27072	2614	130	0
DB38.434	6767	6727	418	40	0
